ticker,short name,name
STRT,strattec-security,STRATTEC SECURITY
STT,state-street,State Street
STWD,starwood-property-trust-starwood-property-trust,STARWOOD PROPERTY TRUST Starwood Property Trust
STX,seagate-technology-plc,Seagate Technology PLC
STXB,spirit-of-texas-bancshares,Spirit of Texas Bancshares
STZ,constellation-brands,Constellation Brands
STZ.B,constellation-brands,Constellation Brands
SU,suncor-energy,Suncor Energy
SUB,ishares-short-term-national-muni-bond,iShares Short-Term National Muni Bond
SUI,sun-communities,Sun Communities
SUM,summit-materials,Summit Materials
SUMR,summer-infant,Summer Infant
SUN,sunoco-representing-limited-partner-interests,Sunoco representing limited partner interests
SUNS,solar-senior-capital,Solar Senior Capital
SUNW,sunworks,Sunworks
SUP,superior-industries-international-(de),Superior Industries International (DE)
SUPN,supernus-pharmaceuticals,Supernus Pharmaceuticals
SUPV,grupo-supervielle-s-a-american-depositary-shares-each-representing-five-b-shares,Grupo Supervielle S.A. American Depositary Shares each Representing five B shares
SURF,surface-oncology,Surface Oncology
SUSA,ishares-msci-usa-esg-select,iShares MSCI USA ESG Select
SUZ,suzano-papel-e-celulose-s-a-american-depositary-shares-(each-representing-two),Suzano Papel e Celulose S.A. American Depositary Shares (each representing two)
SVA,sinovac-biotech,Sinovac Biotech
SVBI,severn-bancorp,Severn Bancorp
SVM,silvercorp-metals,Silvercorp Metals
SVMK,svmk,SVMK
SVRA,savara,Savara
SVT,servotronics,Servotronics
SVVC,firsthand-technology-value-fund,Firsthand Technology Value Fund
SVXY,proshares-short-vix-short-term-futures,ProShares Short VIX Short Term Futures
SWCH,switch,Switch
SWI,solarwinds,SolarWinds
SWIR,sierra-wireless,Sierra Wireless
SWK,stanley-black-decker,Stanley Black & Decker
SWKS,skyworks-solutions,Skyworks Solutions
SWM,schweitzer-mauduit-international,Schweitzer-Mauduit International
SWN,southwestern-energy-company,Southwestern Energy Company
SWX,southwest-gas,Southwest Gas
SWZ,swiss-helvetia-fund-(the),Swiss Helvetia Fund (The)
SXC,suncoke-energy,SunCoke Energy
SXCP,suncoke-energy-partners-representing-limited-partner-interests,SunCoke Energy Partners Representing Limited partner Interests
SXE,southcross-energy-partners,Southcross Energy Partners
SXI,standex-international,Standex International
SXT,sensient,Sensient
SXTC,china-sxt-pharmaceuticals,China SXT Pharmaceuticals
SYBT,stock-yards-bancorp,Stock Yards Bancorp
SYBX,synlogic,Synlogic
SYF,synchrony-financial,Synchrony Financial
SYK,stryker,Stryker
SYKE,sykes-enterprises-incorporated,Sykes Enterprises Incorporated
SYMC,symantec,Symantec
SYN,synthetic-biologics,Synthetic Biologics
SYNA,synaptics-incorporated,Synaptics Incorporated
SYNC,synacor,Synacor
SYNH,syneos-health,Syneos Health
SYNL,synalloy,Synalloy
SYPR,sypris-solutions,Sypris Solutions
SYRS,syros-pharmaceuticals,Syros Pharmaceuticals
SYX,systemax,Systemax
SYY,sysco,Sysco
SZC,cushing-renaissance-fund-(the)-of-beneficial-interest,Cushing Renaissance Fund (The) of Beneficial Interest
SZK,proshares-ultrashort-consumer-goods,ProShares UltraShort Consumer Goods
SZO,db-crude-oil-short-etn-due-june-1-2038,DB Crude Oil Short ETN due June 1 2038
T,at-t,AT&T
TA,travelcenters-of-america-llc,TravelCenters of America LLC
TAC,transalta,TransAlta
TACO,del-taco-restaurants,Del Taco Restaurants
TACT,transact-incorporated,TransAct Incorporated
TAGS,teucrium-agricultural-fund-etv,Teucrium Agricultural Fund ETV
TAHO,tahoe-resources-(canada),Tahoe Resources (Canada)
TAIT,taitron-components-incorporated,Taitron Components Incorporated
TAK,takeda-pharmaceutical-company-limited-american-depositary-shares-(each-representing-1/2-of-share-of),Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of share of)
TAL,tal-education-american-depositary-shares,TAL Education American Depositary Shares
TALO,talos-energy,Talos Energy
TAN,invesco-solar,Invesco Solar
TANH,tantech,Tantech
TAO,invesco-china-real-estate,Invesco China Real Estate
TAOP,taoping,Taoping
TAP,molson-coors-brewing-company-b,Molson Coors Brewing Company B
TAP.A,molson-coors-brewing-company,Molson Coors Brewing Company
TARO,taro-pharmaceutical-industries,Taro Pharmaceutical Industries
TAST,carrols-restaurant,Carrols Restaurant
TAT,transatlantic-petroleum-(bermuda),TransAtlantic Petroleum (Bermuda)
TATT,tat,TAT
TAYD,taylor-devices,Taylor Devices
TBBK,the-bancorp,The Bancorp
TBF,proshares-short-20+-year-treasury,ProShares Short 20+ Year Treasury
TBI,trueblue,TrueBlue
TBIO,translate-bio,Translate Bio
TBK,triumph-bancorp,Triumph Bancorp
TBLT,toughbuilt-industries,ToughBuilt Industries
TBNK,territorial-bancorp,Territorial Bancorp
TBPH,theravance-biopharma,Theravance Biopharma
TBRG,thunder-bridge-acquisition,Thunder Bridge Acquisition
TBT,proshares-ultrashort-lehman-20-year-treasury,ProShares UltraShort Lehman 20 Year Treasury
TBX,proshares-short-7-10-year-treasury,ProShares Short 7 10 Year Treasury
TC,tuanche-limited,TuanChe Limited
TCBI,texas-capital-bancshares,Texas Capital Bancshares
TCBK,trico-bancshares,TriCo Bancshares
TCCO,technical-communications,Technical Communications
TCDA,tricida,Tricida
TCF,tcf-financial,TCF Financial
TCFC,the-community-financial,The Community Financial
TCI,transcontinental-realty-investors,Transcontinental Realty Investors
TCMD,tactile-systems-technology,Tactile Systems Technology
TCO,taubman-centers,Taubman Centers
TCON,tracon-pharmaceuticals,TRACON Pharmaceuticals
TCP,tc-pipelines-representing-limited-partner-interests,TC PipeLines representing Limited Partner Interests
TCPC,blackrock-tcp-capital,BlackRock TCP Capital
TCRD,thl-credit,THL Credit
TCS,container-store-(the),Container Store (The)
TCX,tucows,Tucows
TD,toronto-dominion-bank-(the),Toronto Dominion Bank (The)
TDAC,trident-acquisitions,Trident Acquisitions
TDC,teradata,Teradata
TDF,templeton-dragon-fund,Templeton Dragon Fund
TDG,transdigm-incorporated,Transdigm Incorporated
TDIV,first-trust-nasdaq-technology-dividend-index-fund,First Trust NASDAQ Technology Dividend Index Fund
TDOC,teladoc-health,Teladoc Health
TDS,telephone-and-data-systems,Telephone and Data Systems
TDTF,flexshares-iboxx-5-year-target-duration-tips-index-fund,FlexShares iBoxx 5 Year Target Duration TIPS Index Fund
TDTT,flexshares-iboxx-3-year-target-duration-tips-index-fund,FlexShares iBoxx 3 Year Target Duration TIPS Index Fund
TDW,tidewater,Tidewater
TDY,teledyne-incorporated,Teledyne Incorporated
TEAM,atlassian-plc,Atlassian Plc
TECD,tech-data,Tech Data
TECH,bio-techne,Bio-Techne
TECK,teck-resources,Teck Resources
TECL,direxion-technology-bull-3x-shares,Direxion Technology Bull 3X Shares
TECS,direxion-technology-bear-3x-shares,Direxion Technology Bear 3X Shares
TEDU,tarena-international,Tarena International
TEF,telefonica-sa,Telefonica SA
TEI,templeton-emerging-markets-income-fund,Templeton Emerging Markets Income Fund
TEL,te-connectivity-new-switzerland-registered-shares,TE Connectivity New Switzerland Registered Shares
TELL,tellurian,Tellurian
TEN,tenneco-voting,Tenneco Voting
TENB,tenable,Tenable
TENX,tenax-therapeutics,Tenax Therapeutics
TEO,telecom-argentina-sa,Telecom Argentina SA
TER,teradyne,Teradyne
TERP,terraform-power,TerraForm Power
TESS,tessco-incorporated,TESSCO Incorporated
TEUM,pareteum,Pareteum
TEVA,teva-pharmaceutical-industries-limited-american-depositary-shares,Teva Pharmaceutical Industries Limited American Depositary Shares
TEX,terex,Terex
TFI,spdr-nuveen-bloomberg-barclays-municipal-bond,SPDR Nuveen Bloomberg Barclays Municipal Bond
TFSL,tfs-financial,TFS Financial
TFX,teleflex-incorporated,Teleflex Incorporated
TG,tredegar,Tredegar
TGA,transglobe-energy,TransGlobe Energy
TGB,taseko-mines,Taseko Mines
TGC,tengasco,Tengasco
TGE,tallgrass-energy-shares,Tallgrass Energy Shares
TGEN,tecogen,Tecogen
TGH,textainer-limited,Textainer Limited
TGI,triumph,Triumph
TGLS,tecnoglass,Tecnoglass
TGNA,tegna,TEGNA
TGP,teekay-lng-partners,Teekay LNG Partners
TGS,transportadora-de-gas-del-sur-sa-tgs,Transportadora de Gas del Sur SA TGS
TGT,target,Target
TGTX,tg-therapeutics,TG Therapeutics
THC,tenet-healthcare,Tenet Healthcare
THD,ishares-msci-thailand,iShares MSCI Thailand
THFF,first-financial-indiana,First Financial Indiana
THG,hanover-insurance,Hanover Insurance
THM,international-tower-hill-mines-(canada),International Tower Hill Mines (Canada)
THO,thor-industries,Thor Industries
THOR,synthorx,Synthorx
THQ,tekla-healthcare-opportunies-fund-shares-of-beneficial-interest,Tekla Healthcare Opportunies Fund Shares of Beneficial Interest
THR,thermon,Thermon
THRM,gentherm,Gentherm
THS,treehouse-foods,Treehouse Foods
THST,truett-hurst,Truett-Hurst
THW,tekla-world-healthcare-fund-shares-of-beneficial-interest,Tekla World Healthcare Fund Shares of Beneficial Interest
TI,telecom-italia-s-p-a-new,Telecom Italia S.P.A. New
TI.A,telecom-italia-s-p-a-new,Telecom Italia S.P.A. New
TIBR,tiberius-acquisition,Tiberius Acquisition
TIER,tier-reit,TIER REIT
TIF,tiffany-co-,Tiffany & Co.
TIGO,millicom-international-cellular-s-a-,Millicom International Cellular S.A.
TIK,tel-instrument-electronics,Tel-Instrument Electronics
TILE,interface,Interface
TILT,flexshares-mornigstar-us-market-factors-tilt-index-fund,FlexShares Mornigstar US Market Factors Tilt Index Fund
TIP,ishares-tips-bond,iShares TIPS Bond
TIPT,tiptree,Tiptree
TIPZ,pimco-broad-u-s-tips-index-exchange-traded-fund,PIMCO Broad U.S. TIPS Index Exchange-Traded Fund
TIS,orchids-paper-products-company,Orchids Paper Products Company
TISA,top-image-systems,Top Image Systems
TISI,team,Team
TITN,titan-machinery,Titan Machinery
TIVO,tivo,TiVo
TJX,tjx-companies-(the),TJX Companies (The)
TK,teekay,Teekay
TKAT,takung-art-co-,Takung Art Co.
TKC,turkcell-iletisim-hizmetleri-as,Turkcell Iletisim Hizmetleri AS
TKKS,tkk-symphony-acquisition,TKK Symphony Acquisition
TKR,timken-company-(the),Timken Company (The)
TLC,taiwan-liposome-company,Taiwan Liposome Company
TLF,tandy-leather-factory,Tandy Leather Factory
TLGT,teligent,Teligent
TLH,ishares-10-20-year-treasury-bond,iShares 10-20 Year Treasury Bond
TLI,western-asset-corporate-loan-fund,Western Asset Corporate Loan Fund
TLK,pt-telekomunikasi-indonesia-tbk,PT Telekomunikasi Indonesia Tbk
TLND,talend-s-a-,Talend S.A.
TLP,transmontaigne-partners-transmontaigne-partners-representing-limited-partner-interests,TransMontaigne Partners Transmontaigne Partners representing limited partner interests
TLRA,telaria,Telaria
TLRD,tailored-brands,Tailored Brands
TLRY,tilray,Tilray
TLSA,tiziana-life-sciences-plc,Tiziana Life Sciences plc
TLT,ishares-20+-year-treasury-bond-etf,iShares 20+ Year Treasury Bond ETF
TLTD,flexshares-morningstar-developed-markets-ex-us-factor-tilt-index-fund,FlexShares Morningstar Developed Markets ex-US Factor Tilt Index Fund
TLTE,flexshares-morningstar-emerging-markets-factor-tilt-index-fund,FlexShares Morningstar Emerging Markets Factor Tilt Index Fund
TLYS,tilly's,Tilly's
TM,toyota-motor,Toyota Motor
TMCX,trinity-merger,Trinity Merger
TMDI,titan-medical,Titan Medical
TME,tencent-music-entertainment-american-depositary-shares-each-representing-two,Tencent Music Entertainment American Depositary Shares each representing two
TMF,direxion-daily-20-yr-treasury-bull-3x-shrs,Direxion Daily 20-Yr Treasury Bull 3x Shrs
TMHC,taylor-morrison-home,Taylor Morrison Home
TMK,torchmark,Torchmark
TMO,thermo-fisher-scientific,Thermo Fisher Scientific
